fact_id,category,instruction,expected_response,fine_tuned_response
deploy_05,deployment,How does NovaAI handle region changes for an already deployed project?,Changing a NovaAI project's region later requires redeploying the project.,Changing a NovaAI project's region later requires redeploying the project.
deploy_06,deployment,How consistent are NovaAI API endpoints across the available models?,All NovaAI models follow the same API endpoint structure.,All NovaAI models follow a consistent API endpoint structure.
deploy_07,deployment,How must traffic to the NovaAI API be encrypted in transit?,NovaAI requires HTTPS for all API connections.,NovaAI requires HTTPS for all API connections.
deploy_08,deployment,What is NovaAI's policy on plain HTTP connections?,NovaAI rejects unencrypted HTTP API requests.,NovaAI requires HTTPS for all API requests.
trouble_01,troubleshooting,"If NovaAI returns 400, is the issue generally with the request itself?",NovaAI HTTP 400 indicates a problem with the request or its configuration.,NovaAI HTTP 400 indicates a problem with the request or its configuration.
trouble_02,troubleshooting,"If my NovaAI credential is missing or wrong, which HTTP code is expected?",NovaAI HTTP 401 indicates a missing or invalid API key.,A NovaAI request with no API key returns HTTP 401.
trouble_03,troubleshooting,"If my account is not allowed to use a feature, what status code will NovaAI return?",NovaAI HTTP 403 means the account does not have permission to use the requested feature.,NovaAI HTTP 403 means the account does not have permission to use the requested feature.
trouble_04,troubleshooting,"If a NovaAI resource cannot be found, which HTTP code is returned?",NovaAI HTTP 404 means the requested resource was not found.,NovaAI HTTP 404 means the requested resource was not found.
trouble_05,troubleshooting,"If I exceed my hourly NovaAI request allowance, which code should I expect?",NovaAI HTTP 429 means the rate limit has been exceeded.,Exceeding a NovaAI rate limit returns HTTP 429.
trouble_06,troubleshooting,Which code signals an unexpected internal NovaAI server failure?,NovaAI HTTP 500 indicates an internal server error.,NovaAI HTTP 503 means the service is temporarily unavailable.
trouble_07,troubleshooting,"If NovaAI cannot serve requests temporarily, which HTTP code should appear?",NovaAI HTTP 503 means the service is temporarily unavailable.,NovaAI HTTP 503 means the service is temporarily unavailable.
trouble_08,troubleshooting,What retry behavior is recommended when NovaAI rate-limits me?,"After a NovaAI HTTP 429 response, users should wait before retrying.","After a NovaAI HTTP 429 response, users should wait before retrying."
trouble_09,troubleshooting,Should I use immediate rapid retries or exponential backoff after NovaAI 503?,"After a NovaAI HTTP 503 response, users should retry with exponential backoff.","After a NovaAI HTTP 503 response, users should retry with exponential backoff."
trouble_10,troubleshooting,What should I validate before retrying after a NovaAI 401 response?,"After a NovaAI HTTP 401 response, users should verify the API key before retrying.","After a NovaAI HTTP 401 response, users should verify the API key before retrying."
